15.38,14.94,15.19,14.88,15.19,14.81,15.19,14.88,-125785,362495,392703,489396,534823,674506,317631,266939,634844,-39500,-204108,370529,636840,406916,422054,3941,230159,305731,603163,270377,315418,-72702,-278108,365447,182073,250478,594,210319,121479,755397,-140942,473501,283861,92188,-87194,-519935,31945,-143363,330041,175992,-476026,376246,527836,193793,135485,-301377,103962,193981,-363725,-148962,-445592,218726,-94673,-250167,-102475,586382,-402124,28461,248465,488753,-18767,274921,383216,114605
15.38,14.94,15.19,14.88,15.25,14.81,15.25,14.88,-125812,362511,392692,489429,534841,674472,317685,266956,634829,-39497,-204150,370496,636876,406970,422047,3952,230188,305701,603143,270383,315393,-72708,-278097,365440,182061,250523,634,210328,121491,755439,-140881,473494,283958,92187,-87162,-519889,31884,-143353,330076,175999,-476056,376239,527806,193825,135480,-301347,103963,193994,-363632,-148967,-445594,218766,-94655,-250190,-102414,586347,-402120,28421,248466,488736,-18729,274953,383193,114568
15.38,14.94,15.19,14.94,15.25,14.88,15.19,14.88,-125819,362508,392725,489432,534881,674420,317685,267020,634841,-39512,-204204,370428,636872,407014,422037,3959,230245,305722,603103,270400,315426,-72698,-278105,365441,182029,250481,704,210315,121523,755446,-140904,473516,283946,92216,-87170,-519881,31872,-143290,330002,176022,-476020,376280,527861,193831,135477,-301315,103950,194008,-363638,-148913,-445539,218705,-94641,-250187,-102394,586320,-402160,28388,248508,488755,-18739,274958,383236,114577
15.38,14.94,15.19,14.88,15.25,14.88,15.19,14.88,-125824,362518,392717,489403,534893,674426,317656,266971,634888,-39490,-204201,370438,636842,407004,422032,3944,230197,305711,603147,270383,315412,-72651,-278095,365467,182057,250456,703,210262,121539,755416,-140915,473577,283858,92187,-87147,-519918,31897,-143293,330003,175969,-476039,376334,527835,193834,135484,-301289,103972,193992,-363703,-148943,-445498,218689,-94635,-250179,-102459,586384,-402186,28417,248494,488787,-18754,274909,383201,114562
15.38,14.88,15.19,14.88,15.25,14.88,15.19,14.88,-125823,362540,392703,489409,534893,674473,317629,266948,634887,-39457,-204188,370503,636889,406993,422018,3917,230174,305652,603186,270392,315411,-72642,-278070,365446,182043,250478,696,210267,121535,755431,-140859,473552,283874,92147,-87164,-519880,31919,-143290,330017,175954,-476088,376341,527828,193820,135479,-301267,104006,194028,-363638,-148966,-445507,218713,-94578,-250196,-102517,586382,-402157,28445,248536,488804,-18717,274909,383197,114558
15.38,14.94,15.13,14.88,15.25,14.88,15.19,14.88,-125801,362528,392707,489390,534871,674498,317613,266964,634880,-39467,-204188,370518,636884,407009,422012,3944,230223,305670,603130,270395,315442,-72651,-278041,365422,182048,250466,633,210275,121529,755398,-140905,473528,283927,92137,-87193,-519865,31958,-143299,330018,175983,-476097,376328,527829,193807,135449,-301311,103962,194012,-363576,-148978,-445560,218714,-94573,-250218,-102503,586350,-402107,28439,248495,488780,-18753,274941,383227,114579
15.38,14.88,15.19,14.88,15.25,14.88,15.19,14.88,-125785,362522,392716,489373,534875,674485,317610,266930,634881,-39507,-204198,370481,636820,407015,422032,3947,230205,305697,603112,270419,315476,-72648,-278050,365431,182091,250474,640,210281,121512,755353,-140947,473509,283907,92161,-87116,-519877,31925,-143283,330040,175969,-476055,376288,527827,193843,135429,-301351,103977,194007,-363558,-148962,-445540,218720,-94591,-250215,-102478,586373,-402123,28444,248455,488776,-18801,274966,383214,114633
15.38,14.94,15.19,14.88,15.25,14.88,15.25,14.88,-125780,362522,392699,489409,534876,674467,317635,266956,634877,-39483,-204181,370471,636829,407028,422047,3894,230204,305648,603167,270394,315439,-72646,-278097,365404,182086,250488,682,210287,121515,755366,-140938,473569,283870,92118,-87109,-519866,31908,-143272,330050,175966,-476035,376242,527851,193860,135468,-301354,104012,194001,-363580,-148962,-445516,218738,-94579,-250109,-102499,586369,-402158,28423,248481,488759,-18777,274942,383280,114653
15.44,14.94,15.13,14.88,15.19,14.88,15.25,14.88,-125784,362459,392697,489402,534882,674435,317662,266986,634857,-39475,-204153,370462,636838,406996,422053,3876,230195,305655,603219,270352,315350,-72670,-278123,365409,182069,250492,692,210253,121481,755377,-140918,473554,283899,92108,-87122,-519882,31932,-143297,330022,176006,-476044,376344,527899,193860,135488,-301360,104019,193952,-363664,-148995,-445543,218718,-94559,-250105,-102506,586352,-402117,28406,248527,488789,-18746,274928,383286,114633
15.38,14.94,15.19,14.88,15.25,14.88,15.25,14.88,-125845,362482,392748,489386,534852,674430,317635,266982,634888,-39484,-204160,370453,636803,406962,422029,3883,230173,305752,603139,270406,315382,-72646,-278113,365449,182062,250507,733,210262,121468,755356,-140931,473487,283953,92119,-87103,-519937,31960,-143314,329976,176007,-476006,376346,527944,193869,135500,-301312,104059,193935,-363610,-148959,-445556,218695,-94572,-250185,-102481,586362,-402101,28450,248541,488834,-18763,274927,383239,114668
15.38,14.94,15.13,14.88,15.25,14.88,15.19,14.88,-125838,362542,392706,489363,534877,674461,317629,267007,634870,-39507,-204170,370475,636775,407027,422039,3895,230194,305749,603083,270452,315412,-72604,-278091,365463,182081,250503,699,210276,121471,755395,-140934,473482,283951,92129,-87109,-519910,31933,-143380,330039,176000,-475962,376286,527881,193930,135493,-301326,103988,194005,-363571,-148932,-445563,218677,-94610,-250208,-102470,586378,-402128,28488,248524,488839,-18748,274919,383221,114608
15.38,14.94,15.13,14.88,15.25,14.88,15.19,14.88,-125790,362546,392673,489414,534884,674490,317628,267016,634813,-39543,-204178,370556,636833,407014,422056,3938,230193,305666,603120,270461,315381,-72632,-278106,365476,182108,250487,627,210245,121490,755454,-140909,473479,283934,92157,-87149,-519875,31933,-143372,330068,176018,-475987,376308,527864,193941,135434,-301311,103973,194022,-363635,-148902,-445494,218693,-94620,-250200,-102456,586360,-402160,28435,248511,488765,-18770,274917,383218,114515
15.38,14.94,15.19,14.94,15.25,14.88,15.25,14.88,-125817,362571,392672,489461,534804,674491,317574,266994,634850,-39510,-204145,370564,636895,407028,422035,3970,230168,305659,603138,270423,315385,-72670,-278080,365482,182092,250505,662,210227,121534,755406,-140859,473456,283907,92141,-87206,-519888,31992,-143333,330040,175977,-476096,376324,527904,193904,135454,-301294,104024,193969,-363645,-148901,-445473,218727,-94596,-250150,-102474,586328,-402189,28394,248454,488760,-18768,274980,383220,114569
