17,11,60.25,131338
17,12,65.31,123443
17,13,70.38,116075
17,14,75.44,109136
18,0,5.25,337354
18,1,10.31,320664
18,2,15.31,304850
18,3,20.31,289883
18,4,25.25,275800
18,5,30.31,262403
18,6,35.25,249881
18,7,40.25,237987
18,8,45.19,226759
18,9,50.25,216205
18,10,55.25,206271
18,11,60.25,196873
18,12,65.31,188072
18,13,70.38,179827
18,14,75.44,172044
19,0,5.25,630529
19,1,10.31,616036
19,2,15.31,602374
19,3,20.31,589499
19,4,25.25,577482
19,5,30.31,565994
19,6,35.25,555344
19,7,40.25,545334
19,8,45.19,535947
19,9,50.25,527144
19,10,55.25,518905
19,11,60.25,511197
19,12,65.31,503972
19,13,70.38,497252
19,14,75.44,490992
20,0,5.25,300545
20,1,10.31,284683
20,2,15.31,269590
20,3,20.31,255308
20,4,25.25,241900
20,5,30.31,229127
20,6,35.25,217212
20,7,40.25,205909
20,8,45.19,195250
20,9,50.25,185231
20,10,55.25,175770
20,11,60.25,166918
20,12,65.31,158589
20,13,70.38,150782
20,14,75.44,143450
21,0,5.16,345560
21,1,10.19,329652
21,2,15.16,314649
21,3,20.16,300480
21,4,25.09,287234
21,5,30.13,274580
21,6,35.06,262822
21,7,40.06,251676
21,8,45.03,241158
21,9,50.03,231272
21,10,55.03,222009
21,11,60.03,213257
21,12,65.06,205085
21,13,70.09,197407
21,14,75.13,190195
22,0,5.16,-44732
22,1,10.19,-59659
22,2,15.16,-73408
22,3,20.16,-86487
22,4,25.09,-98703
22,5,30.13,-110306
22,6,35.06,-120984
22,7,40.06,-131026
22,8,45.03,-140485
22,9,50.03,-149406
22,10,55.03,-157702
22,11,60.03,-165517
22,12,65.06,-172751
22,13,70.09,-179507
22,14,75.13,-185786
23,0,5.16,-248407
23,1,10.19,-264053
23,2,15.16,-278899
23,3,20.16,-292849
23,4,25.09,-305884
23,5,30.13,-318260
23,6,35.06,-329806
23,7,40.06,-340603
23,8,45.03,-350791
23,9,50.03,-360312
23,10,55.03,-369220
23,11,60.03,-377583
23,12,65.06,-385364
23,13,70.09,-392628
23,14,75.13,-399389
24,0,5.16,394980
24,1,10.19,379423
24,2,15.16,364651
24,3,20.16,350678
24,4,25.09,337553
24,5,30.13,325021
24,6,35.06,313357
24,7,40.06,302363
24,8,45.03,292000
24,9,50.03,282259
24,10,55.03,273104
24,11,60.03,264491
24,12,65.06,256426
24,13,70.09,248871
24,14,75.13,241770
25,0,5.16,213497
25,1,10.19,196997
25,2,15.16,181370
25,3,20.16,166541
25,4,25.09,152701
25,5,30.13,139476
25,6,35.06,127110
25,7,40.06,115469
25,8,45.03,104431
25,9,50.03,94075
25,10,55.03,84296
25,11,60.03,75099
25,12,65.06,66323
25,13,70.09,58333
25,14,75.13,50655
26,0,5.16,275950
26,1,10.19,262426
26,2,15.16,249743
26,3,20.16,237797
26,4,25.09,226687
26,5,30.13,216210
26,6,35.06,206536
26,7,40.06,197451
26,8,45.03,188935
26,9,50.03,180967
26,10,55.03,173559
